id,title,category,shortlist_rank,type,location_town,plz,district_or_region,price_eur,price_note,living_m2,plot_m2,rooms,year_built,energy_hwb_class,energy_hwb_value,heating,has_garden,has_parking,parking_note,has_garage,has_sauna,has_pool,condition_note,commute_pt_min_low,commute_pt_min_high,commute_car_rush_low,commute_car_rush_high,lat,lon,location_precision,url_primary,url_alt,notes,research_date,listing_status,first_seen,last_seen,disappeared_date,price_eur_previous,price_changed_at,price_change_eur,change_flags,seller_type,seller_type_note,makler_name,price_per_m2,fees_statutory_pct,fees_makler_pct,fee_grunderwerbsteuer_eur,fee_grundbuch_eur,fee_notar_eur,fee_makler_eur,fees_total_eur,all_in_price_eur
SA1,LAND.LEBEN.ZUHAUSE — EFH mit Sauna + Fitnessraum,sauna,,EFH,Dürnrohr,3435,"Gem. Zwentendorf an der Donau, Bezirk Tulln",375000,,112.5,523,4,2005,C,69.5,,true,true,Garage; Garten ~378 m²,true,true,false,Sauna + Fitnessraum im Keller; Wintergarten; clearest move-in+sauna under €450k,,,,,48.3318,15.89913,town,https://findheim.at/de/immobilie/land-leben-zuhause-0b940ff8,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/land-leben-zuhause-1682038842/,Listing cites ~50 min Wien. Farther west of Tulln than Langenlebarn/Wördern. Town centroid. 2026-09-23: findheim primary flaky/410; willhaben mirror confirmed live.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,ISPRIVATE=0; WOHNCLOUD IMMOBILIEN GMBH; Provision:3% des Kaufpreises zzgl. 20% USt.,WOHNCLOUD IMMOBILIEN GMBH,3333.33,6.1,3.6,13125,4125,5625,13500,36375,411375
SA2,"Haus mit Weitblick, Garten & Doppelgarage (Sauna)",sauna,,EFH,Sitzenberg-Reidling,3454,Bezirk Tulln,368000,,190,622,3,2008,,,,true,true,Doppelgarage + Carport,true,true,false,Sauna + Kellerstüberl; EG ~98 + DG ~92 Ausbaupotenzial; currently 3 Zi in EG; DG unfinished,,,,,48.31908,15.81813,town,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/-haus-mit-weitblick-garten-doppelgarage-857474740/,,190 m² includes Ausbaupotenzial DG. Agent Immobilien Tulln KHG. Town centroid.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,ISPRIVATE=0; Immobilien Tulln KHG; Provision:3% zzgl. gesetzliche MwSt,Immobilien Tulln KHG,1936.84,6.1,3.6,12880,4048,5520,13248,35696,403696
AU1,EFH mit Sauna (Zwangsversteigerung Grafenwörth),auction,,EFH,Grafenwörth,3484,"Schweizerhofsiedlung, Bezirk Tulln",233100,"Schätzwert €233,100; geringstes Gebot often ~50% = €116,550 — not normal Kauf",150,857,4,1985,,,,true,true,Doppelgarage + Carport,true,true,false,Sauna im DG-Bad; Nutz ~70 m²; foreclosure process risk,,,,,48.40261,15.79136,town,https://www.immowelt.at/expose/25288012-e512-49b1-9bcd-f6b224880111,,"Zwangsversteigerung — check Ediktsdatei/Notar. Plot size portal-dependent. Town centroid. 2026-09-21: Immowelt primary CAPTCHA-blocked; ImmoScout mirror exposes returned 410 — status uncertain, kept active pending re-check. 2026-09-22: Immowelt still 403/CAPTCHA; no willhaben/ImmoScout mirror found — status uncertain, kept active.",2026-09-22,active,2026-09-20,2026-09-23,,,,,seen|uncertain,unknown,Zwangsversteigerung (Immowelt); no standard buyer Maklerprovision,,1554.0,6.1,0.0,8159,2564,3496,0,14219,247319
OB1,EFH mit Pool & Sauna (Wilfersdorf / Tulbing) — RESERVIERT,over_budget,,EFH,Wilfersdorf,3434,"Tulbing, Bezirk Tulln (~6 km to Tulln)",499000,dibeo €499k RESERVIERT as of 2026-09-22; Immowelt mirror CAPTCHA,109,823,4,,,,Kamin mentioned,true,true,2er-Garage,true,true,true,Hauseigene Sauna + Solarkabine im Keller; Außenpool; Wohnnutz ~218 m²,,,,,48.28342,16.11604,town,https://www.dibeo.at/expose/2237376,https://www.immowelt.at/expose/ee8a1c8a-ef12-45f3-ace5-75d24ce676b5,"Closest classic wellness EFH to Tulln but over €450k. Plot up to ~1,592 m² if Doppelgrundstück variant. Town centroid. 2026-09-22: dibeo image/asset marked reserviert--in-vergabe — still listed €499k but reserved.",2026-09-22,active,2026-09-20,2026-09-24,,,,,seen|reserved,makler,dibeo: Donnerbauer Immobilien GmbH; Maklerprovision breakdown on page,Donnerbauer Immobilien GmbH,4577.98,6.1,3.6,17465,5489,7485,17964,48403,547403
OB2,"EFH Garten, Pool & separates Saunahaus (Kierling)",over_budget,,EFH,Kierling,3400,Klosterneuburg / Bezirk Tulln listing area,680000,,,,,,,,,true,false,,false,true,true,Sauna as Nebengebäude ~17 m² + Pool; far over budget,,,,,48.31052,16.25942,town,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/einfamilienhaus-mit-traumhaften-garten-pool-sauna-2030470312/,,Size details sparse in research note. Town centroid.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,ISPRIVATE=0; Römer Real GmbH; Provision:3% des Kaufpreises zzgl. 20% USt.,Römer Real GmbH,,6.1,3.6,23800,7480,10200,24480,65960,745960
OB3,Ruhig gelegenes Traumhaus / Wellnessbad (Tulln),over_budget,,EFH,Tulln an der Donau,3430,"Birkenweg area, Tulln",780000,,,,,,,,,true,false,,false,true,false,"Wellnessbad with Sauna, Solarium, Whirlpool; Tulln town but way over budget",,,,,48.3341,16.04999,town,https://findheim.at/de/immobilie/quot-ruhig-gelegenes-traumhaus-mit-wohlfuehlgarantie-quot-a5828378,https://www.immobilienscout24.at/expose/68d6b3ae3e77e960ae5d6632,Approx Tulln town centroid (Birkenweg area). Size not in research extract. Removed from findheim (410) and ImmoScout (410) on 2026-09-21 — Anbieter entfernt.,2026-09-22,disappeared,2026-09-20,2026-09-21,2026-09-21,,,,disappeared,unknown,disappeared; findheim 410 / ImmoScout stub — cannot verify seller,,,6.1,0.0,27300,8580,11700,0,47580,827580
OB4,Haus zum Verlieben + Pool (Michelhausen),over_budget,,EFH,Michelhausen,3451,Bezirk Tulln,666000,,,,,,,,,true,false,,false,true,true,Infrarotkabine + 8×4 m Pool — over budget,,,,,48.28742,15.94126,town,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/ein-haus-zum-verlieben-modern-energie-effizient-mit-8-x-4-meter-pool-1108567368/,,IR kabine counted as sauna-type amenity. Town centroid.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,"ISPRIVATE=0; Kokron Immobilien e.U.; Provision:23.976,00 EUR inkl. 20% USt.",Kokron Immobilien e.U.,,6.1,3.6,23310,7326,9990,23976,64602,730602
OB5,Elegantes Landhaus Wellness (Nitzing),over_budget,,EFH,Nitzing,3430,Tulln an der Donau / Nitzing,999000,"ImmoScout ~€1,080,000; other mirrors ~€999k — use lower",,,,,,,,true,false,,false,true,true,"Full Spa (Sauna, Dampfbad, Whirlpool) + Pool — luxury, ignore for budget",,,,,48.30993,16.09427,town,https://www.immobilienscout24.at/expose/69e2917b694996bea3eb9b17,,price_eur uses lower mirror (~€999k). Town centroid.,2026-09-22,active,2026-09-20,2026-09-23,,,,,seen,makler,ImmoScout24: Provision €35.964 inkl. 20% USt,,,6.1,3.6,34965,10989,14985,35964,96903,1095903
OB6,"EFH in Tulln mit Garten, Terrasse und Garage (EXPIRED/GONE)",over_budget,,EFH,Tulln an der Donau,3430,Bezirk Tulln,499000,Was Richtpreis €499k RESERVIERT; listing expired 2026-09-22,131,396,6,,D,126.7,Gas ZH + FBH; Pelletofen,true,true,Garage + 2 Stellplätze,true,false,false,"RESERVIERT; EG renov. 2015, OG ~2000; Brunnen; PV Balkonkraftwerk; near Bahnhof/Krankenhaus",,,,,48.3341,16.04999,town,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/einfamilienhaus-in-tulln-mit-garten-terrasse-und-garage-1611695752/,,Matched prior OB6 near-miss placeholder. Still listed but reserved — watch for free-up or price cut. Town centroid. 2026-09-22: willhaben redirects to Tulln search with fromExpiredAdId=1611695752 — listing expired/removed (was RESERVIERT).,2026-09-22,disappeared,2026-09-20,2026-09-22,2026-09-22,,,,disappeared,makler,ISPRIVATE=0,,3809.16,6.1,3.6,17465,5489,7485,17964,48403,547403
SO1,Solides Haus mit Garten und Pool (+ Keller-Sauna) — VERKAUFT,sold,,EFH,Altenberg,3422,St. Andrä-Wördern,425000,"Was €425,000 — VERKAUFT",102,507,,,,,,true,false,,false,true,true,Would have been top under-budget Pool+Sauna match; already sold,,,,,48.34102,16.24394,town,,,RE/MAX Tulln-Purkersdorf mirrors marked sold. Included for reference. Town centroid. Status corrected to sold on 2026-09-21 watch (was category=sold but listing_status=active).,2026-09-22,sold,2026-09-20,2026-09-21,,,,,sold,unknown,sold; no url_primary,,4166.67,6.1,0.0,14875,4675,6375,0,25925,450925
NEW1,Preisreduktion: Jugendstil-Villa mit Garten (St. Andrä-Wördern),shortlist,9,EFH,St. Andrä-Wördern,3423,Bezirk Tulln / Speckgürtel,399000,Preisreduktion; previously advertised ~€445k on some portals,147.9,591,5,1931,G,268.5,Gas ZH,true,false,,false,false,false,Umfassend sanierungsbedürftig; Massiv; Keller; Altbaumbestand; DG partial,,,,,48.33772,16.20349,town,https://www.immobilienscout24.at/expose/6980a817d67ecd68a8327298,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/preisreduktion-sanierungsbeduerftige-villa-im-jugendstil-mit-traumhaftem-garten-samt-altbaumbestand-in-allerbester-wohn-und-zentrumslage-1124467065/,Strong location near Bahnhof / Wienerwald edge. Heavy reno — under €450k after drop. Town centroid. Raiffeisen Imm.,2026-09-22,active,2026-09-21,2026-09-24,,,,,seen,makler,ISPRIVATE=0; Raiffeisen Immobilien Vermittlung Ges.m.b.H; Provision:3% des Kaufpreises plus 20% USt.,Raiffeisen Immobilien Vermittlung Ges.m.b.H,2697.77,6.1,3.6,13965,4389,5985,14364,38703,437703
NEW2,Sanierungsbedürftiges charakterstarkes EFH (Langenlebarn),honourable,,EFH,Langenlebarn,3425,Bezirk Tulln (neighbour of Tulln),239000,,154.1,440,5,,,,Gas ZH,true,false,,false,false,false,Umfassender Sanierungsbedarf; Massiv; 2 kleine Keller; Garten gepflegt; Bahnhofsnähe,55,75,50,75,48.33228,16.12399,town,https://www.raiffeisen-immobilien.at/de/immobilien/kauf/3425/langenlebarn/sanierungsbeduerftiges-charakterstarkes-einfamilienhaus-in-guter-wohnlage-und-bahnhofsnaehe.0001011621,https://immobilien.derstandard.at/detail/15126609,Top location/price but heavy reno — honourable not shortlist. Town centroid. 2026-09-22: derstandard alt shows expiredListing; Raiffeisen primary still live €239k.,2026-09-22,active,2026-09-21,2026-09-24,,,,,seen,makler,Raiffeisen Immobilien Vermittlung (portal); Kaufprovision 3%+USt,Raiffeisen Immobilien Vermittlung,1550.94,6.1,3.6,8365,2629,3585,8604,23183,262183
NEW3,Bauträgerliegenschaft / sanierungsbedürftiges Landhaus (Dürnrohr),honourable,,EFH,Dürnrohr,3435,Zwentendorf an der Donau / Bezirk Tulln,247000,,90,1597,5,1900,,,Zentralheizung Festbrennstoff,true,true,Garage + Stellplätze,true,false,false,Schwer sanierungsbedürftig; Bauland Agrar with plans for up to 8 WE — project more than classic family Kauf,,,,,48.3318,15.89913,town,https://www.immobilienscout24.at/expose/69c2782a95affaefc0043dd7,,Developer/project character. Large plot. Town centroid.,2026-09-22,active,2026-09-21,2026-09-24,,,,,seen,makler,ImmoScout24: Provision 3%+USt; Raiffeisen Immobilien Vermittlung Ges.m.b.H,Raiffeisen Immobilien Vermittlung Ges.m.b.H,2744.44,6.1,3.6,8645,2717,3705,8892,23959,270959
NEW4,Neubau DHH Erstbezug mit Klimaanlage (Dürnrohr),shortlist,10,DHH,Dürnrohr,3435,Zwentendorf an der Donau / Bezirk Tulln,444000,Unit ~Haus3; sibling units €430–445k,124.74,247.45,4,2026,B,37,Luftwärmepumpe + FBH,true,true,2 Stellplätze; Carport optional,false,false,false,Erstbezug Neubau 2026; Garten ~240 m²; Brunnen; E-Ladestation; massiv,,,,,48.3318,15.89913,town,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/doppelhaushaelfte-in-ruhelage-erstbezug-mit-klimaanlage-und-stellplaetze-1811903973/,,Under €450k plug-and-play DHH. Farther west corridor than Langenlebarn. Town centroid. Marketed also as Vorsorge/Vermietung.,2026-09-22,active,2026-09-21,2026-09-24,,,,,seen,makler,ISPRIVATE=0; LANDAA Immobilien GmbH; Provision:2% des Kaufpreises zzgl. 20% USt.,LANDAA Immobilien GmbH,3559.4,6.1,3.6,15540,4884,6660,15984,43068,487068
WF1,Modernes Wohnen in Absdorf – Neubau auf Eigengrund,over_budget,,EFH,Absdorf,3462,Bezirk Tulln; Stockerauerstraße area,495000,Project units also listed ~€495–525k on willhaben; this unit €499k Immowelt | 2026-09-23: willhaben now „ab € 495.000“ (was €499k),120,311,5,2026,B,,Wärmepumpe + FBH; PV geplant,true,true,Carport,false,false,false,EFH Neubau/Erstbezug auf Eigengrund; Terrasse ~15.75 m²; belagsfertig (Malen/Boden); 3 SZ + Büro,,,,,48.4003,15.9785,town,https://www.immowelt.at/expose/9721e4d0-6faf-4d56-bea0-486eb8e7d566,https://www.willhaben.at/iad/immobilien/d/neubauprojekt/niederoesterreich/tulln/modernes-wohnen-in-absdorf-neubau-auf-eigengrund-1152595648/,Wife find 2026-09-21. Agent Decus Immobilien GmbH. Exact street withheld (Stockerauerstraße). Near Absdorf-Hippersdorf Bhf / S5. All-in with NK ~€549–559k — clearly over €450k budget. See wife-find-9721e4d0.md. Price eased €4k on 2026-09-23.,2026-09-22,active,2026-09-21,2026-09-24,,499000,2026-09-23,-4000,wife_find|seen|price_drop,makler,ISPRIVATE=0; DECUS Immobilien GmbH,DECUS Immobilien GmbH,4125.0,6.1,3.6,17325,5445,7425,17820,48015,543015
SIM1,Moderne DHH mit Garten & 2 Terrassen (Absdorf),over_budget,,DHH,Absdorf,3462,Bezirk Tulln / Absdorf-Hippersdorf,530000,IR/findheim €530k; Immowelt/derstandard mirrors sometimes €550k — use €530k,127,346,5,2021,B,39.3,Luftwärmepumpe + FBH (Kühlfunktion),true,true,2 Stellplätze,false,false,false,Erstbezug/Neubau 2021 massiv; 2 Terrassen (~27 m² sun terrace); Flachdach; Alarmanlage; 3-fach Glas,,,,,48.4003,15.9785,town,https://www.ir.at/de/immobilien/1697618-ankommen-durchatmen-zuhause-sein-moderne-doppelhaushalfte-mit-garten-und-2-terrassen-in-absdorf-6,https://www.immowelt.at/expose/21d5fee3-a735-42f5-b1a8-0da07571c85d,Closest same-town modern comp to WF1 but DHH not freestanding EFH; ~€31k+ above WF1. Agent Immobilien86 KG. Town centroid.,2026-09-22,active,2026-09-21,2026-09-24,,,,,similar_wf1|seen,makler,IR Immobilienring; Provision €19.080 inkl. 20% USt (page),IR Immobilienring,4173.23,6.1,3.6,18550,5830,7950,19080,51410,581410
SIM2,Neubau DHH Erstbezug €399k (Frauendorf / Königsbrunn),honourable,,DHH,Frauendorf an der Au,3462,KG Königsbrunn am Wagram / Absdorf area,399000,Immowelt/findheim €399k unit; sibling units €425k (SL7) and €449k (SIM3),108.99,,4,2023,B,33,Luftwärmepumpe + FBH,true,true,2 Stellplätze,false,false,false,Massiv 2022–24 Erstbezug; 3 SZ; terrace + Eigengarten; same Siedlung as SL7,,,,,48.39231,15.92114,town,https://www.immowelt.at/expose/47cafc37-23bf-4d73-b7a3-8e965fae2362,https://findheim.at/de/immobilie/wohnen-an-den-donauauen-und-am-wagram-996eb490,Best under-budget Neubau alternative near Absdorf vs WF1. Smaller living/rooms than WF1; DHH not EFH. Town centroid Frauendorf. 2026-09-22: findheim alt live €399k; Immowelt primary 403.,2026-09-22,active,2026-09-21,2026-09-24,,,,,similar_wf1|seen,makler,findheim alt: Raiffeisen Immobilienvermittlung / Peter Fellhofer; Vermittlungsprovision=Ja,Raiffeisen Immobilienvermittlung,3660.89,6.1,3.6,13965,4389,5985,14364,38703,437703
SIM3,Neubau DHH Erstbezug €449k (Frauendorf / Königsbrunn),honourable,,DHH,Frauendorf an der Au,3462,KG Königsbrunn am Wagram / Absdorf area,449000,At €450k budget line; sibling of SL7/SIM2 Siedlung,108.99,,4,2023,B,,Luftwärmepumpe + FBH,true,true,2 Stellplätze,false,false,false,Massiv 2022–24 Erstbezug; garden/terrace; same Siedlung as SL7/SIM2,,,,,48.39231,15.92114,town,https://www.immowelt.at/expose/5feae690-4b2d-40b2-86ba-38abf95df316,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/wohnen-an-den-donauauen-und-am-wagram-modern-massiv-1057688132/,Near-budget Neubau DHH near Absdorf. €50k under WF1 but smaller and DHH. Town centroid. 2026-09-22: Immowelt primary 403; confirmed live €449k via willhaben Frauendorf listing.,2026-09-22,active,2026-09-21,2026-09-24,,,,,similar_wf1|seen,makler,ISPRIVATE=0; Raiffeisen Immobilien Vermittlung Ges.m.b.H; Provision:3% des Kaufpreises plus 20% USt.,Raiffeisen Immobilien Vermittlung Ges.m.b.H,4119.64,6.1,3.6,15715,4939,6735,16164,43553,492553
SIM4,Gepflegtes EFH mit Pool & Wintergarten (Langenlebarn-Oberaigen),honourable,,EFH,Langenlebarn,3425,Bezirk Tulln (neighbour of Tulln),390000,gesucht-gefunden/derstandard €390k; Immowelt mirror €399k; immodirekt sometimes €430k — use €390k,120.35,638,4,,D,113,Gas ZH (2005) + Solar; Kachelofen,true,true,Stellplatz; E-Ladestation vorbereitet,false,false,true,Move-in-ready; Pool solar-heated; Wintergarten; Keller Hobby/Werkstatt; not Neubau,55,75,50,75,48.33228,16.12399,town,https://gesucht-gefunden.at/objekt/3491279/,https://www.immowelt.at/expose/70879af2-9e68-4535-90ac-283dede48298,Strong under-budget size match to WF1 (~120 m²) with much larger plot + pool; older stock/energy D vs WF1 Neubau B. Better Wien/Tulln corridor. Town centroid.,2026-09-22,active,2026-09-21,2026-09-23,,,,,similar_wf1|seen,makler,gesucht-gefunden.at: Vermittler als Doppelmakler tätig,,3240.55,6.1,3.6,13650,4290,5850,14040,37830,427830
